"name","brand","sku","product_url","price","sale_price","discount_percentage","image_1","image_2","image_3","image_4","image_5","rating_value","rating_count","availability","catalog_sku","offer_code","url_slug","was_price","image_1_key","image_2_key","image_3_key","image_4_key","image_5_key","image_6","image_6_key","image_7","image_7_key","image_8","image_8_key","image_9","image_9_key","image_10","image_10_key","rating","reviews","is_buyable","is_out_of_stock","stock_quantity","is_bestseller","is_express","is_fashion","flags","flags_count","deal_tag_text","deal_tag_color","discount_tag_code","discount_tag_title","nudges","nudges_count","nudge_1_text","nudge_1_type","delivery_label","estimated_delivery_date","express_delivery","seller_code","seller_name","sold_by","category","subcategory","catalog_key","model_number","model_name","item_type","has_variants","variant_count","position","rank","boost","parent_sku","product_type","is_sponsored","sponsor_id","created_at","updated_at","extra_sku_config","extra_url","extra_image_key","extra_stock_minimum_quantity","extra_show_3d","extra_is_collection_eligible","extra_is_freebie","extra_discount_canonical_url","extra_discount_code_display_text","extra_discount_tag_detail","extra_brand_code","extra_best_seller_rank","extra_low_stock_nudge_value","extra_variant_overlay_url","extra_discount_tag_count"
"Lightweight Padel Tennis Racket Pop Tennis Paddle Racquets Pro Fiberglass Carbon Fiber Paddle Racket with Cover Bag","Rock Pow","Z481710C6C243081D3AC3Z","https://www.noon.com/uae-en/lightweight-padel-tennis-racket-pop-tennis-paddle-racquets-pro-fiberglass-carbon-fiber-paddle-racket-with-cover-bag/Z481710C6C243081D3AC3Z/p/?o=z481710c6c243081d3ac3z-1","490.0","149.9","69.4","https://f.nooncdn.com/p/pzsku/Z481710C6C243081D3AC3Z/45/_/1687762570/1cb96451-2c0e-4c3c-a02b-3d93ba7348a4.jpg","https://f.nooncdn.com/p/pzsku/Z481710C6C243081D3AC3Z/45/_/1687762571/f9dd0923-dfb7-4278-9dce-22b1a3f84504.jpg","https://f.nooncdn.com/p/pzsku/Z481710C6C243081D3AC3Z/45/_/1687762573/3c0e5ce6-bdd7-4d8f-97d3-e3a4e8fdc033.jpg","https://f.nooncdn.com/p/pzsku/Z481710C6C243081D3AC3Z/45/1749637527/fb02b930-c1bc-4d56-b668-41022544125b.jpg","https://f.nooncdn.com/p/pzsku/Z481710C6C243081D3AC3Z/45/1749637529/d253c25b-9945-42a4-93c7-0d4fddd1dc86.jpg","4.4","37","","Z481710C6C243081D3AC3Z-1","z481710c6c243081d3ac3z-1","lightweight-padel-tennis-racket-pop-tennis-paddle-racquets-pro-fiberglass-carbon-fiber-paddle-racket-with-cover-bag","","pzsku/Z481710C6C243081D3AC3Z/45/_/1687762570/1cb96451-2c0e-4c3c-a02b-3d93ba7348a4","pzsku/Z481710C6C243081D3AC3Z/45/_/1687762571/f9dd0923-dfb7-4278-9dce-22b1a3f84504","pzsku/Z481710C6C243081D3AC3Z/45/_/1687762573/3c0e5ce6-bdd7-4d8f-97d3-e3a4e8fdc033","pzsku/Z481710C6C243081D3AC3Z/45/1749637527/fb02b930-c1bc-4d56-b668-41022544125b","pzsku/Z481710C6C243081D3AC3Z/45/1749637529/d253c25b-9945-42a4-93c7-0d4fddd1dc86","https://f.nooncdn.com/p/pzsku/Z481710C6C243081D3AC3Z/45/1749637527/ace07d06-5c12-4edb-869d-5da0154870df.jpg","pzsku/Z481710C6C243081D3AC3Z/45/1749637527/ace07d06-5c12-4edb-869d-5da0154870df","https://f.nooncdn.com/p/pzsku/Z481710C6C243081D3AC3Z/45/1749637528/efebcd61-f628-42d2-a6e7-c3a0624fdc3e.jpg","pzsku/Z481710C6C243081D3AC3Z/45/1749637528/efebcd61-f628-42d2-a6e7-c3a0624fdc3e","","","","","","","","","True","","","True","","","fbn|quick_atc|free_delivery_eligible","3","Ramadan Ready Deal 🌙","","FAB15","Extra 15% off","#1 in Tennis Racquets|Lowest price in a year|Free Delivery|30+ sold recently","4","#1 in Tennis Racquets","","","Get it <b>Tomorrow</b>","","","","","","","","","","","False","0","","","","","","","","","","Z481710C6C243081D3AC3Z","lightweight-padel-tennis-racket-pop-tennis-paddle-racquets-pro-fiberglass-carbon-fiber-paddle-racket-with-cover-bag","pzsku/Z481710C6C243081D3AC3Z/45/_/1687762570/1cb96451-2c0e-4c3c-a02b-3d93ba7348a4","1","False","True","False","/bank-offer-fab-excl-mobiles","CODE: FAB15","Extra 15% off with FAB & Dubai First Mastercard Credit Cards","rock_pow","#1","","",""
"Grip X70 Colorful Overgrips For Tennis (French Brand)","Babolat","Z9CED53AB587B5DE3C0C2Z","https://www.noon.com/uae-en/grip-x70-colorful-overgrips-for-tennis-french-brand/Z9CED53AB587B5DE3C0C2Z/p/?o=b1b3388d29983bfd","35.0","29.0","17.1","https://f.nooncdn.com/p/pzsku/Z9CED53AB587B5DE3C0C2Z/45/_/1676014218/ea16fcec-9aed-4bac-845e-d9484c22660e.jpg","https://f.nooncdn.com/p/pzsku/Z9CED53AB587B5DE3C0C2Z/45/_/1676014218/52809d15-b38a-4d38-b522-8e82e6a497a5.jpg","","","","5","1","","Z9CED53AB587B5DE3C0C2Z-1","b1b3388d29983bfd","grip-x70-colorful-overgrips-for-tennis-french-brand","","pzsku/Z9CED53AB587B5DE3C0C2Z/45/_/1676014218/ea16fcec-9aed-4bac-845e-d9484c22660e","pzsku/Z9CED53AB587B5DE3C0C2Z/45/_/1676014218/52809d15-b38a-4d38-b522-8e82e6a497a5","","","","","","","","","","","","","","","","True","","","True","","","quick_atc|rocket|vat_refund_eligible","3","Ramadan Ready Deal 🌙","","FAB15","Extra 15% off","#1 in Tennis Grips|10+ sold recently","2","#1 in Tennis Grips","","","GET IN <b>48 MINS</b>","","","","","","","","","","","False","0","","","","","","","","","","Z9CED53AB587B5DE3C0C2Z","grip-x70-colorful-overgrips-for-tennis-french-brand","pzsku/Z9CED53AB587B5DE3C0C2Z/45/_/1676014218/ea16fcec-9aed-4bac-845e-d9484c22660e","1","False","True","False","/bank-offer-fab-excl-mobiles","CODE: FAB15","Extra 15% off with FAB & Dubai First Mastercard Credit Cards","babolat","#1","","",""
"Tennis Rackets Set for Student Training Tennis and Beginners of 2 Tennis Racquets Lightweight Including Tennis Bag and Water Injection Base","DUNISO","Z6D736CC6428A0D50558DZ","https://www.noon.com/uae-en/tennis-rackets-set-for-student-training-tennis-and-beginners-of-2-tennis-racquets-lightweight-including-tennis-bag-and-water-injection-base/Z6D736CC6428A0D50558DZ/p/?o=z6d736cc6428a0d50558dz-1","200.0","103.5","48.2","https://f.nooncdn.com/p/pzsku/Z6D736CC6428A0D50558DZ/45/_/1700394875/565d4894-267c-4acd-a6d3-e4ada564ae25.jpg","https://f.nooncdn.com/p/pzsku/Z6D736CC6428A0D50558DZ/45/_/1700394877/ef4c678a-689b-4f99-ad39-36ef14a7873f.jpg","https://f.nooncdn.com/p/pzsku/Z6D736CC6428A0D50558DZ/45/_/1700394877/77e26f4c-db60-43f8-a7e6-fcb911a2512f.jpg","https://f.nooncdn.com/p/pzsku/Z6D736CC6428A0D50558DZ/45/_/1700394876/e2b32870-2a95-4712-a454-d2dfb3acea52.jpg","https://f.nooncdn.com/p/pzsku/Z6D736CC6428A0D50558DZ/45/_/1700394876/1fc483e7-cc8b-45e1-8ef1-f6363de1ab51.jpg","4.2","39","","Z6D736CC6428A0D50558DZ-1","z6d736cc6428a0d50558dz-1","tennis-rackets-set-for-student-training-tennis-and-beginners-of-2-tennis-racquets-lightweight-including-tennis-bag-and-water-injection-base","","pzsku/Z6D736CC6428A0D50558DZ/45/_/1700394875/565d4894-267c-4acd-a6d3-e4ada564ae25","pzsku/Z6D736CC6428A0D50558DZ/45/_/1700394877/ef4c678a-689b-4f99-ad39-36ef14a7873f","pzsku/Z6D736CC6428A0D50558DZ/45/_/1700394877/77e26f4c-db60-43f8-a7e6-fcb911a2512f","pzsku/Z6D736CC6428A0D50558DZ/45/_/1700394876/e2b32870-2a95-4712-a454-d2dfb3acea52","pzsku/Z6D736CC6428A0D50558DZ/45/_/1700394876/1fc483e7-cc8b-45e1-8ef1-f6363de1ab51","https://f.nooncdn.com/p/pzsku/Z6D736CC6428A0D50558DZ/45/_/1700394878/4eb7deae-f8b8-4832-ae75-ebaae850f1f9.jpg","pzsku/Z6D736CC6428A0D50558DZ/45/_/1700394878/4eb7deae-f8b8-4832-ae75-ebaae850f1f9","","","","","","","","","","","True","","","False","","","fbn|quick_atc|free_delivery_eligible","3","","","FAB15","Extra 15% off","#3 in Tennis Racquets|Free Delivery|10+ sold recently","3","#3 in Tennis Racquets","","","Get it <b>Tomorrow</b>","","","","","","","","","","","False","0","","","","","","","","","","Z6D736CC6428A0D50558DZ","tennis-rackets-set-for-student-training-tennis-and-beginners-of-2-tennis-racquets-lightweight-including-tennis-bag-and-water-injection-base","pzsku/Z6D736CC6428A0D50558DZ/45/_/1700394875/565d4894-267c-4acd-a6d3-e4ada564ae25","1","False","False","False","/bank-offer-fab-excl-mobiles","CODE: FAB15","Extra 15% off with FAB & Dubai First Mastercard Credit Cards","duniso","#3","","",""
"Diamond Shape Full Carbon Fiber Padel Tennis Racket with Bag Cover","Rock Pow","Z9542814641A8FFB4E65DZ","https://www.noon.com/uae-en/diamond-shape-full-carbon-fiber-padel-tennis-racket-with-bag-cover/Z9542814641A8FFB4E65DZ/p/?o=z9542814641a8ffb4e65dz-1","490.0","149.9","69.4","https://f.nooncdn.com/p/pzsku/Z9542814641A8FFB4E65DZ/45/_/1689673577/cb532e6c-925a-4365-baa7-ccbbaf471f41.jpg","https://f.nooncdn.com/p/pzsku/Z9542814641A8FFB4E65DZ/45/_/1689673578/c1f75b50-799e-4471-b704-44a135a11cdb.jpg","https://f.nooncdn.com/p/pzsku/Z9542814641A8FFB4E65DZ/45/_/1689673578/930560fe-dadf-4c5c-9b60-941b0d8c2487.jpg","https://f.nooncdn.com/p/pzsku/Z9542814641A8FFB4E65DZ/45/_/1689673579/02011181-0500-46b0-ae8a-c175a7b781e1.jpg","","4.4","10","","Z9542814641A8FFB4E65DZ-1","z9542814641a8ffb4e65dz-1","diamond-shape-full-carbon-fiber-padel-tennis-racket-with-bag-cover","","pzsku/Z9542814641A8FFB4E65DZ/45/_/1689673577/cb532e6c-925a-4365-baa7-ccbbaf471f41","pzsku/Z9542814641A8FFB4E65DZ/45/_/1689673578/c1f75b50-799e-4471-b704-44a135a11cdb","pzsku/Z9542814641A8FFB4E65DZ/45/_/1689673578/930560fe-dadf-4c5c-9b60-941b0d8c2487","pzsku/Z9542814641A8FFB4E65DZ/45/_/1689673579/02011181-0500-46b0-ae8a-c175a7b781e1","","","","","","","","","","","","","","True","","","False","","","fbn|quick_atc|free_delivery_eligible","3","Ramadan Ready Deal 🌙","","FAB15","Extra 15% off","#2 in Tennis Racquets|Lowest price in 30 days|Free Delivery|10+ sold recently","4","#2 in Tennis Racquets","","","Get it <b>Tomorrow</b>","","","","","","","","","","","False","0","","","","","","","","","","Z9542814641A8FFB4E65DZ","diamond-shape-full-carbon-fiber-padel-tennis-racket-with-bag-cover","pzsku/Z9542814641A8FFB4E65DZ/45/_/1689673577/cb532e6c-925a-4365-baa7-ccbbaf471f41","1","False","True","False","/bank-offer-fab-excl-mobiles","CODE: FAB15","Extra 15% off with FAB & Dubai First Mastercard Credit Cards","rock_pow","#2","","",""
"Tb-Tr4Nex Tour Tennis Ball 1*4","Yonex","Z453261BD15AEF1B2BA61Z","https://www.noon.com/uae-en/tb-tr4nex-tour-tennis-ball-1-4/Z453261BD15AEF1B2BA61Z/p/?o=baa9302f97d5b28f","41.2","","","https://f.nooncdn.com/p/pzsku/Z453261BD15AEF1B2BA61Z/45/_/1741240184/bb88d49f-bf06-4cb7-acfa-8ee54dd83b3e.jpg","https://f.nooncdn.com/p/pzsku/Z453261BD15AEF1B2BA61Z/45/_/1741240186/c7fe6378-20bc-426d-b021-19a8ced5c6c9.jpg","","","","","","","Z453261BD15AEF1B2BA61Z-1","baa9302f97d5b28f","tb-tr4nex-tour-tennis-ball-1-4","","pzsku/Z453261BD15AEF1B2BA61Z/45/_/1741240184/bb88d49f-bf06-4cb7-acfa-8ee54dd83b3e","pzsku/Z453261BD15AEF1B2BA61Z/45/_/1741240186/c7fe6378-20bc-426d-b021-19a8ced5c6c9","","","","","","","","","","","","","","","","True","","","False","","","quick_atc|rocket|vat_refund_eligible","3","","","FAB15","Extra 15% off","Lowest price in 7 days","1","Lowest price in 7 days","","","GET IN <b>48 MINS</b>","","","","","","","","","","","False","0","","","","","","","","","","Z453261BD15AEF1B2BA61Z","tb-tr4nex-tour-tennis-ball-1-4","pzsku/Z453261BD15AEF1B2BA61Z/45/_/1741240184/bb88d49f-bf06-4cb7-acfa-8ee54dd83b3e","1","False","True","False","/bank-offer-fab-excl-mobiles","CODE: FAB15","Extra 15% off with FAB & Dubai First Mastercard Credit Cards","yonex","","","",""
"Babolat TENNIS RPM POWER STRINGS,243139-336","","Z8A5A3978B16AF499272FZ","https://www.noon.com/uae-en/babolat-tennis-rpm-power-strings-243139-336/Z8A5A3978B16AF499272FZ/p/?o=a825d43bce35c10d","1000.0","","","https://f.nooncdn.com/p/pzsku/Z8A5A3978B16AF499272FZ/45/1756729126/1abbe03d-edd4-49c5-9abd-29cd36b8ccc2.jpg","https://f.nooncdn.com/p/pzsku/Z8A5A3978B16AF499272FZ/45/1756729127/1ffdca51-200c-4963-a532-d813baf84c13.jpg","","","","","","","Z8A5A3978B16AF499272FZ-1","a825d43bce35c10d","babolat-tennis-rpm-power-strings-243139-336","","pzsku/Z8A5A3978B16AF499272FZ/45/1756729126/1abbe03d-edd4-49c5-9abd-29cd36b8ccc2","pzsku/Z8A5A3978B16AF499272FZ/45/1756729127/1ffdca51-200c-4963-a532-d813baf84c13","","","","","","","","","","","","","","","","True","","","False","","","fbn|quick_atc|free_delivery_eligible","3","","","FAB15","Extra 15% off","Free Delivery","1","Free Delivery","","","Get it <b>Tomorrow</b>","","","","","","","","","","","False","0","","","","","","","","","","Z8A5A3978B16AF499272FZ","babolat-tennis-rpm-power-strings-243139-336","pzsku/Z8A5A3978B16AF499272FZ/45/1756729126/1abbe03d-edd4-49c5-9abd-29cd36b8ccc2","1","False","True","False","/bank-offer-fab-excl-mobiles","CODE: FAB15","Extra 15% off with FAB & Dubai First Mastercard Credit Cards","babolat","","","",""
"TR Tristorm Pro 265 G2 NH Tennis Racket – Lightweight, Powerful & Precision Racquet","DUNLOP","Z549623087C514A97FB55Z","https://www.noon.com/uae-en/tr-tristorm-pro-265-g2-nh-tennis-racket-lightweight-powerful-precision-racquet/Z549623087C514A97FB55Z/p/?o=z549623087c514a97fb55z-1","376.0","234.0","37.8","https://f.nooncdn.com/p/pzsku/Z549623087C514A97FB55Z/45/_/1721912600/ccc58b78-c329-4996-a4d8-98e7eca5e38e.jpg","https://f.nooncdn.com/p/pzsku/Z549623087C514A97FB55Z/45/_/1732204027/61b08429-5955-426a-8ce1-46b126ea41c6.jpg","https://f.nooncdn.com/p/pzsku/Z549623087C514A97FB55Z/45/1754402667/5849af71-9a0b-406f-8e5c-9c2d3e35038f.jpg","","","4","1","","Z549623087C514A97FB55Z-1","z549623087c514a97fb55z-1","tr-tristorm-pro-265-g2-nh-tennis-racket-lightweight-powerful-precision-racquet","","pzsku/Z549623087C514A97FB55Z/45/_/1721912600/ccc58b78-c329-4996-a4d8-98e7eca5e38e","pzsku/Z549623087C514A97FB55Z/45/_/1732204027/61b08429-5955-426a-8ce1-46b126ea41c6","pzsku/Z549623087C514A97FB55Z/45/1754402667/5849af71-9a0b-406f-8e5c-9c2d3e35038f","","","","","","","","","","","","","","","True","","","False","","","fbn|quick_atc|free_delivery_eligible","3","Ramadan Ready Deal 🌙","","FAB15","Extra 15% off","Free Delivery","1","Free Delivery","","","Get it <b>Tomorrow</b>","","","","","","","","","","","False","0","","","","","","","","","","Z549623087C514A97FB55Z","tr-tristorm-pro-265-g2-nh-tennis-racket-lightweight-powerful-precision-racquet","pzsku/Z549623087C514A97FB55Z/45/_/1721912600/ccc58b78-c329-4996-a4d8-98e7eca5e38e","1","False","False","False","/bank-offer-fab-excl-mobiles","CODE: FAB15","Extra 15% off with FAB & Dubai First Mastercard Credit Cards","dunlop","","","",""
"Single Tennis Trainer for Student Training Tennis and Beginners of 1 Tennis Racquet Lightweight Including 1 Tennis Balls and 1 Water Injection Base, Adults Tennis Racket, 27 Inch Tennis Racket Set","GROIC","Z7ED9FCCD1CE8256B7B25Z","https://www.noon.com/uae-en/single-tennis-trainer-for-student-training-tennis-and-beginners-of-1-tennis-racquet-lightweight-including-1-tennis-balls-and-1-water-injection-base-adults-tennis-racket-27-inch-tennis-racket-set/Z7ED9FCCD1CE8256B7B25Z/p/?o=z7ed9fccd1ce8256b7b25z-1","200.0","54.33","72.8","https://f.nooncdn.com/p/pzsku/Z7ED9FCCD1CE8256B7B25Z/45/_/1722334515/0bd09d15-3359-44fc-ac79-037a037ccc06.jpg","https://f.nooncdn.com/p/pzsku/Z7ED9FCCD1CE8256B7B25Z/45/_/1721641071/a9368842-a322-4ee6-857a-894d7a16b458.jpg","https://f.nooncdn.com/p/pzsku/Z7ED9FCCD1CE8256B7B25Z/45/_/1721641075/d4a22bff-26c3-420a-b32f-6f9e025333b2.jpg","https://f.nooncdn.com/p/pzsku/Z7ED9FCCD1CE8256B7B25Z/45/_/1721641074/478a4ab0-76c6-4a7a-bd40-635f420d7b3f.jpg","https://f.nooncdn.com/p/pzsku/Z7ED9FCCD1CE8256B7B25Z/45/_/1721641073/02b0e50d-4fa6-4d78-83e4-817262851c02.jpg","3.5","5","","Z7ED9FCCD1CE8256B7B25Z-1","z7ed9fccd1ce8256b7b25z-1","single-tennis-trainer-for-student-training-tennis-and-beginners-of-1-tennis-racquet-lightweight-including-1-tennis-balls-and-1-water-injection-base-adults-tennis-racket-27-inch-tennis-racket-set","","pzsku/Z7ED9FCCD1CE8256B7B25Z/45/_/1722334515/0bd09d15-3359-44fc-ac79-037a037ccc06","pzsku/Z7ED9FCCD1CE8256B7B25Z/45/_/1721641071/a9368842-a322-4ee6-857a-894d7a16b458","pzsku/Z7ED9FCCD1CE8256B7B25Z/45/_/1721641075/d4a22bff-26c3-420a-b32f-6f9e025333b2","pzsku/Z7ED9FCCD1CE8256B7B25Z/45/_/1721641074/478a4ab0-76c6-4a7a-bd40-635f420d7b3f","pzsku/Z7ED9FCCD1CE8256B7B25Z/45/_/1721641073/02b0e50d-4fa6-4d78-83e4-817262851c02","https://f.nooncdn.com/p/pzsku/Z7ED9FCCD1CE8256B7B25Z/45/_/1721641072/61954842-70b9-4e27-a2f0-680f1200e6ab.jpg","pzsku/Z7ED9FCCD1CE8256B7B25Z/45/_/1721641072/61954842-70b9-4e27-a2f0-680f1200e6ab","https://f.nooncdn.com/p/pzsku/Z7ED9FCCD1CE8256B7B25Z/45/_/1721641073/e1544feb-c31f-41be-b2cf-f2b52eb91eb0.jpg","pzsku/Z7ED9FCCD1CE8256B7B25Z/45/_/1721641073/e1544feb-c31f-41be-b2cf-f2b52eb91eb0","","","","","","","","","True","","","False","","","fbn|quick_atc|free_delivery_eligible","3","Ramadan Ready Deal 🌙","","FAB15","Extra 15% off","#11 in Tennis Racquets|Free Delivery","2","#11 in Tennis Racquets","","","Get it <b>Tomorrow</b>","","","","","","","","","","","False","0","","","","","","","","","","Z7ED9FCCD1CE8256B7B25Z","single-tennis-trainer-for-student-training-tennis-and-beginners-of-1-tennis-racquet-lightweight-including-1-tennis-balls-and-1-water-injection-base-adults-tennis-racket-27-inch-tennis-racket-set","pzsku/Z7ED9FCCD1CE8256B7B25Z/45/_/1722334515/0bd09d15-3359-44fc-ac79-037a037ccc06","1","False","False","False","/bank-offer-fab-excl-mobiles","CODE: FAB15","Extra 15% off with FAB & Dubai First Mastercard Credit Cards","groic","#11","","",""
"Padel Tennis Racket Carbon Fiber Diamond Shape with Bag Included - White and Black","Rock Pow","Z57512754AFC72CD00B76Z","https://www.noon.com/uae-en/padel-tennis-racket-carbon-fiber-diamond-shape-with-bag-included-white-and-black/Z57512754AFC72CD00B76Z/p/?o=z57512754afc72cd00b76z-1","269.0","160.0","40.5","https://f.nooncdn.com/p/pzsku/Z57512754AFC72CD00B76Z/45/1751379662/0fb24a7c-1b22-4b38-ad4d-440898fa377f.jpg","https://f.nooncdn.com/p/pzsku/Z57512754AFC72CD00B76Z/45/1751381474/ddbf5f60-f81c-4206-8a80-b2a920af8c22.jpg","https://f.nooncdn.com/p/pzsku/Z57512754AFC72CD00B76Z/45/1751381474/13c3465d-21e3-457b-882e-1f1b0dcf9936.jpg","https://f.nooncdn.com/p/pzsku/Z57512754AFC72CD00B76Z/45/1751381474/b6501a86-49c5-44b3-b7c6-47329db3be86.jpg","https://f.nooncdn.com/p/pzsku/Z57512754AFC72CD00B76Z/45/1751381459/1a1a0e75-533e-4cc2-8fc1-d5e4a27e8fa2.jpg","4.4","25","","Z57512754AFC72CD00B76Z-1","z57512754afc72cd00b76z-1","padel-tennis-racket-carbon-fiber-diamond-shape-with-bag-included-white-and-black","","pzsku/Z57512754AFC72CD00B76Z/45/1751379662/0fb24a7c-1b22-4b38-ad4d-440898fa377f","pzsku/Z57512754AFC72CD00B76Z/45/1751381474/ddbf5f60-f81c-4206-8a80-b2a920af8c22","pzsku/Z57512754AFC72CD00B76Z/45/1751381474/13c3465d-21e3-457b-882e-1f1b0dcf9936","pzsku/Z57512754AFC72CD00B76Z/45/1751381474/b6501a86-49c5-44b3-b7c6-47329db3be86","pzsku/Z57512754AFC72CD00B76Z/45/1751381459/1a1a0e75-533e-4cc2-8fc1-d5e4a27e8fa2","https://f.nooncdn.com/p/pzsku/Z57512754AFC72CD00B76Z/45/1751381459/a391970f-7a76-4e49-950f-dfa933ae760f.jpg","pzsku/Z57512754AFC72CD00B76Z/45/1751381459/a391970f-7a76-4e49-950f-dfa933ae760f","https://f.nooncdn.com/p/pzsku/Z57512754AFC72CD00B76Z/45/1751381459/05081bf9-c439-4d80-a62a-cd529dcd65b5.jpg","pzsku/Z57512754AFC72CD00B76Z/45/1751381459/05081bf9-c439-4d80-a62a-cd529dcd65b5","https://f.nooncdn.com/p/pzsku/Z57512754AFC72CD00B76Z/45/1751381459/d94d438a-ebd4-41f3-899b-6d957ceea64f.jpg","pzsku/Z57512754AFC72CD00B76Z/45/1751381459/d94d438a-ebd4-41f3-899b-6d957ceea64f","","","","","","","True","","","False","","","fbn|quick_atc|free_delivery_eligible","3","Ramadan Ready Deal 🌙","","FAB15","Extra 15% off","#15 in Tennis Racquets|Free Delivery","2","#15 in Tennis Racquets","","","Get it <b>Tomorrow</b>","","","","","","","","","","","False","0","","","","","","","","","","Z57512754AFC72CD00B76Z","padel-tennis-racket-carbon-fiber-diamond-shape-with-bag-included-white-and-black","pzsku/Z57512754AFC72CD00B76Z/45/1751379662/0fb24a7c-1b22-4b38-ad4d-440898fa377f","1","False","True","False","/bank-offer-fab-excl-mobiles","CODE: FAB15","Extra 15% off with FAB & Dubai First Mastercard Credit Cards","rock_pow","#15","","",""
"Tb-Tp4Ex Tour Platinum Tennis Ball 1*4","Yonex","ZBD97E385E42818DD40FDZ","https://www.noon.com/uae-en/tb-tp4ex-tour-platinum-tennis-ball-1-4/ZBD97E385E42818DD40FDZ/p/?o=zbd97e385e42818dd40fdz-1","50.0","47.4","5.2","https://f.nooncdn.com/p/pzsku/ZBD97E385E42818DD40FDZ/45/_/1740721655/dbd745d0-4952-4a1d-97b3-9b3e87972411.jpg","","","","","5","1","","ZBD97E385E42818DD40FDZ-1","zbd97e385e42818dd40fdz-1","tb-tp4ex-tour-platinum-tennis-ball-1-4","","pzsku/ZBD97E385E42818DD40FDZ/45/_/1740721655/dbd745d0-4952-4a1d-97b3-9b3e87972411","","","","","","","","","","","","","","","","","True","","","False","","","fbn|quick_atc|free_delivery_eligible","3","","","FAB15","Extra 15% off","Free Delivery|Only 1 left in stock","2","Free Delivery","","","Get it <b>Tomorrow</b>","","","","","","","","","","","False","0","","","","","","","","","","ZBD97E385E42818DD40FDZ","tb-tp4ex-tour-platinum-tennis-ball-1-4","pzsku/ZBD97E385E42818DD40FDZ/45/_/1740721655/dbd745d0-4952-4a1d-97b3-9b3e87972411","1","False","True","False","/bank-offer-fab-excl-mobiles","CODE: FAB15","Extra 15% off with FAB & Dubai First Mastercard Credit Cards","yonex","","1.0","",""
